,股票代码,质押日期,股东名称,质押方,质押股数(万股),占所持股比例(%),占总股本比例(%),冻结事由,冻结期限,状态,预警线(估算),平仓线(估算),质押日收盘价(前复权)(元),最新收盘价(元),质押股数(万股).1,占所持股比例(%).1,占总股本比例(%).1,解除日期,公告日期,平仓日
31,000407.SZ,2017/7/10,广州润铠胜投资有限责任公司,民生证券股份有限公司河南分公司,364,4.43,0.41,"广州润铠胜投资有限责任公司质押3,640,000股给民生证券股份有限公司河南分公司用于补充流动资金","质押开始日期2017年7月10日
质押到期日至办理解除质押登记手续之日",已到平仓线,5.83,5.1,9.11,3.46,"8,204.10",99.96,9.32,--,2017/7/18,20180614
32,000407.SZ,2017/7/10,广州润铠胜投资有限责任公司,民生证券股份有限公司河南分公司,364,4.43,0.41,"广州润铠胜投资有限责任公司质押3,640,000股给民生证券股份有限公司河南分公司用于补充流动资金","质押开始日期2017年7月10日
质押到期日至办理解除质押登记手续之日",已到平仓线,5.83,5.1,9.11,3.46,"8,204.10",99.96,9.32,--,2017/7/18,20180614
33,000407.SZ,2017/7/10,广州润铠胜投资有限责任公司,民生证券股份有限公司河南分公司,364,4.43,0.41,"广州润铠胜投资有限责任公司质押3,640,000股给民生证券股份有限公司河南分公司用于补充流动资金","质押开始日期2017年7月10日
质押到期日至办理解除质押登记手续之日",已到平仓线,5.83,5.1,9.11,3.46,"8,204.10",99.96,9.32,--,2017/7/18,20180614
34,000407.SZ,2017/7/10,广州润铠胜投资有限责任公司,民生证券股份有限公司河南分公司,364,4.43,0.41,"广州润铠胜投资有限责任公司质押3,640,000股给民生证券股份有限公司河南分公司用于补充流动资金","质押开始日期2017年7月10日
质押到期日至办理解除质押登记手续之日",已到平仓线,5.83,5.1,9.11,3.46,"8,204.10",99.96,9.32,--,2017/7/18,20180614
35,000407.SZ,2017/6/12,广州润铠胜投资有限责任公司,中国长城资产管理股份有限公司广东省分公司,"2,014.10",24.54,2.29,"广州润铠胜投资有限责任公司质押2,0140987股给中国长城资产管理股份有限公司广东省分公司用于补充流动资金","质押开始日期2017年6月12日
质押到期日至办理解除质押登记手续之日",已到平仓线,6.44,5.64,10.07,3.46,"8,204.10",99.96,9.32,--,2017/7/18,20180209
36,000408.SZ,2018/2/6,西藏藏格创业投资集团有限公司,中国银行股份有限公司西藏自治区分行,"1,000.00",1.16,0.48,"西藏藏格创业投资有限公司质押给中国银行股份有限公司西藏自治区分行10,000,000股",质押期限自2018年2月6日至2031年2月6日,已到平仓线,12.34,10.79,15.42,9.85,"85,646.14",99.72,42.96,2031/2/6,2018/2/10,20180822
37,000408.SZ,2018/2/6,四川省永鸿实业有限公司,中国银行股份有限公司西藏自治区分行,"3,000.00",7.75,1.45,"四川省永鸿实业有限公司质押给中国银行股份有限公司西藏自治区分行30,000,000股",质押期限自2018年2月6日至2031年2月6日,已到平仓线,12.34,10.79,15.42,9.85,"37,987.94",98.1,19.05,2031/2/6,2018/2/10,20180822
38,000408.SZ,2017/12/27,西藏藏格创业投资集团有限公司,光大兴陇信托有限责任公司,"2,252.25",2.62,1.13,"西藏藏格创业投资有限公司质押22,522,523股给光大兴陇信托有限责任公司用于办理质押式回购交易","质押开始日期2017年12月27日,质押期限24个月",已到平仓线,14.4,12.6,18.0,9.85,"82,746.14",96.34,41.5,2019/12/27,2017/12/30,20180619
39,000408.SZ,2016/12/23,四川省永鸿实业有限公司,华融证券股份有限公司成都交子大道证券营业部,"2,862.00",7.02,1.38,质押给华融证券股份有限公司成都交子大道证券营业部,质押自2016-12-23到2019-12-20,已到平仓线,11.92,10.43,14.9,9.85,"40,795.70",100,19.69,2019/12/20,2016/12/27,20190429
40,000408.SZ,2016/12/23,四川省永鸿实业有限公司,华融证券股份有限公司成都交子大道证券营业部,250,0.61,0.12,质押给华融证券股份有限公司成都交子大道证券营业部,质押自2016-12-23到2019-12-20,已到平仓线,11.92,10.43,14.9,9.85,"40,795.70",100,19.69,2019/12/20,2016/12/27,20190429
41,000408.SZ,2016/12/23,四川省永鸿实业有限公司,华融证券股份有限公司成都交子大道证券营业部,"1,094.00",2.68,0.53,质押给华融证券股份有限公司成都交子大道证券营业部,质押自2016-12-23到2019-12-20,已到平仓线,11.92,10.43,14.9,9.85,"40,795.70",100,19.69,2019/12/20,2016/12/27,20190429
42,000408.SZ,2016/12/23,四川省永鸿实业有限公司,华融证券股份有限公司成都交子大道证券营业部,721,1.77,0.35,质押给华融证券股份有限公司成都交子大道证券营业部,质押自2016-12-23到2019-12-20,已到平仓线,11.92,10.43,14.9,9.85,"40,795.70",100,19.69,2019/12/20,2016/12/27,20190429
43,000408.SZ,2016/12/23,四川省永鸿实业有限公司,华融证券股份有限公司成都交子大道证券营业部,"2,031.00",4.98,0.98,质押给华融证券股份有限公司成都交子大道证券营业部,质押自2016-12-23到2019-12-20,已到平仓线,11.92,10.43,14.9,9.85,"40,795.70",100,19.69,2019/12/20,2016/12/27,20190429
44,000408.SZ,2016/12/23,四川省永鸿实业有限公司,华融证券股份有限公司成都交子大道证券营业部,268,0.66,0.13,质押给华融证券股份有限公司成都交子大道证券营业部,质押自2016-12-23到2019-12-20,已到平仓线,11.92,10.43,14.9,9.85,"40,795.70",100,19.69,2019/12/20,2016/12/27,20190429
45,000408.SZ,2016/12/22,四川省永鸿实业有限公司,华融证券股份有限公司成都交子大道证券营业部,"4,279.00",10.49,2.07,质押给华融证券股份有限公司成都交子大道证券营业部,质押自2016-12-22到2019-12-19,已到平仓线,12.04,10.54,15.06,9.85,"40,795.70",100,19.69,2019/12/19,2016/12/27,20190131
46,000408.SZ,2016/9/27,西藏藏格创业投资集团有限公司,国信证券股份有限公司,"23,300.00",25.75,11.24,质押给国信证券股份有限公司,质押自2016-9-27到2019-9-26,已到平仓线,12.13,10.62,15.16,9.85,"70,202.86",77.58,33.87,2019/9/26,2016/9/30,20190131
47,000408.SZ,2016/8/30,四川省永鸿实业有限公司,国信证券股份有限公司,"3,277.16",8.03,1.58,质押给国信证券股份有限公司,质押自2016-8-30到2019-8-30,已到平仓线,13.47,11.79,16.84,9.85,"36,867.94",90.37,17.79,2019/8/30,2017/8/7,20180815
48,000408.SZ,2016/8/26,四川省永鸿实业有限公司,国信证券股份有限公司,"7,209.74",17.67,3.48,补充流动资金,质押开始日期2016-8-26质押到期日2019-8-26,已到平仓线,13.38,11.7,16.72,9.85,"36,867.94",90.37,17.79,2019/8/26,2017/8/7,20180817
49,000408.SZ,2016/8/26,四川省永鸿实业有限公司,国信证券股份有限公司,"3,932.59",9.64,1.9,补充流动资金,质押开始日期2016-8-26质押到期日2019-8-26,已到平仓线,13.38,11.7,16.72,9.85,"36,867.94",90.37,17.79,2019/8/26,2017/8/7,20180817
50,000408.SZ,2016/8/1,西藏藏格创业投资集团有限公司,青海睿鑫低碳股权投资基金(有限合伙),"3,700.00",4.31,1.86,西藏藏格创业投资集团有限公司质押股份给青海睿鑫低碳股权投资基金(有限合伙),质押从2016/08/01至办理解除质押手续止,已到平仓线,11.82,10.35,14.78,9.85,"85,889.27",100,43.08,--,2019/6/12,20190429
51,000410.SZ,2018/1/4,沈阳机床(集团)有限责任公司,中国建设银行股份有限公司沈阳铁西支行,"11,500.00",49.85,15.02,"沈阳机床(集团)有限责任公司将11,500万股质押给中国建设银行股份有限公司沈阳铁西支行用于融资",质押期限从2018年1月4日至2022年12月6日止,已到平仓线,6.74,5.9,10.53,5.3,"11,500.00",49.85,15.02,2022/12/6,2018/1/6,20190717
52,000413.SZ,2018/1/12,东旭集团有限公司,中国民生信托有限公司,"24,568.03",26.97,4.29,"东旭集团有限公司由于日常资金需求质押245,680,345股给中国民生信托有限公司",质押期限为2018年1月12日至2021年12月5日,已到平仓线,7.36,6.44,9.21,4.75,--,--,--,2021/12/5,2018/1/13,20180619
53,000413.SZ,2016/12/9,东旭集团有限公司,锦州银行股份有限公司凌云支行,"10,105.41",11.04,1.76,将股份质押给锦州银行股份有限公司凌云支行用于日常资金需求,质押开始日期2016年12月9日质押到期日2019年12月8日,已到平仓线,10.09,8.83,12.61,4.75,"79,964.30",87.39,13.95,2019/12/8,2018/8/15,20180129
54,000413.SZ,2016/10/31,东旭集团有限公司,中国农业银行股份有限公司营口分行,"4,000.00",7.14,0.8,质押给中国农业银行股份有限公司营口分行,东旭集团办理解除质押登记手续之日,已到平仓线,10.37,9.07,12.96,4.75,"48,988.27",87.64,9.92,--,2016/11/5,20180117
55,000413.SZ,2016/6/24,东旭集团有限公司,国信证券股份有限公司,"1,881.76",2.27,0.49,质押给国信证券股份有限公司,质押开始日期2016年6月24日质至东旭集团办理解除质押登记手续之日,已到平仓线,6.26,5.48,7.83,4.75,"78,073.03",94.07,20.36,--,2016/6/25,20180817
56,000415.SZ,2018/3/12,海航资本集团有限公司,厦门国际信托有限公司,"5,200.00",2.41,0.84,"海航资本集团有限公司将52,000,000股质押给厦门国际信托有限公司用于融资",质押期限从2018年3月12日至2020年3月12日,已到平仓线,4.61,4.04,5.77,3.57,"211,485.20",97.96,34.2,2020/3/12,2018/3/15,20180802
57,000415.SZ,2017/11/27,海航资本集团有限公司,天风证券股份有限公司,"2,294.81",1.13,0.37,海航资本集团有限公司质押股份给天风证券股份有限公司用于融资,质押开始日期(逐笔列示)2017.11.27质押到期日2019.12.27,已到平仓线,4.67,4.09,5.84,3.57,,,,2019/12/27,2019/7/27,20180802
58,000415.SZ,2016/7/15,深圳兴航融投股权投资基金合伙企业(有限合伙),建信资本管理有限责任公司,"13,179.57",25.0,2.13,"深圳兴航融投股权投资基金合伙企业(有限合伙)将持有公司131,795,717股质押给建信资本管理有限责任公司用于融资",质押开始日期2016年7月15日至质押到期日2021年7月15日,已到平仓线,5.35,4.68,6.69,3.57,"52,718.29",100,8.52,2021/7/15,2016/7/21,20180719
59,000426.SZ,2018/1/5,甘肃西北矿业集团有限公司,北方国际信托股份有限公司,"8,228.00",45.68,4.4,"甘肃西北矿业集团有限公司质押82,280,000股给北方国际信托股份有限公司用于融资",质押期限从2018年1月5日至办理质押之日止,已到平仓线,6.52,5.71,10.19,5.14,"15,002.30",83.29,8.03,--,2018/1/8,20181008
60,000426.SZ,2017/12/20,甘肃西北矿业集团有限公司,国民信托有限公司,"3,343.43",18.56,1.79,"甘肃西北矿业集团有限公司质押67,743,042股给国民信托有限公司,用于融资",质押开始日期2017年12月20日,已到平仓线,5.98,5.23,9.34,5.14,"14,582.30",80.95,7.8,--,2019/3/15,20181011
61,000426.SZ,2017/11/23,内蒙古兴业集团股份有限公司,中信银行股份有限公司呼和浩特分行,"3,520.00",6.33,1.88,兴业集团继续以其持有本公司的35200000股质押给中信银行股份有限公司呼和浩特分行,质押期限自2017-11-23起,已到平仓线,5.94,5.19,9.27,5.14,"53,891.10",96.91,28.84,--,2017/11/23,20181011
62,000426.SZ,2017/11/1,内蒙古兴业集团股份有限公司,恒丰银行股份有限公司北京分行,"6,500.00",11.69,3.48,"兴业集团质押65,000,000股给恒丰银行股份有限公司北京分行,用途融资。",质押开始日期2017-11-01,已到平仓线,6.85,6.0,10.71,5.14,"53,891.10",96.91,28.84,--,2017/11/2,20180917
63,000426.SZ,2017/8/17,内蒙古兴业集团股份有限公司,国民信托有限公司,100,0.18,0.05,"内蒙古兴业集团股份有限公司将1,000,000股质押给国民信托有限公司用做融资",质押开始日期2017-08-17,已到平仓线,6.25,5.47,9.76,5.14,"54,391.10",97.81,29.11,--,2017/8/22,20181011
64,000426.SZ,2017/3/2,内蒙古兴业集团股份有限公司,中国民生信托有限公司,"2,000.00",3.6,1.07,控股股东内蒙古兴业集团股份有限公司于2017年3月2日将所持有的2000万股本公司股份质押给中国民生信托有限公司用于融资.,冻结起始日2017年3月2日,已到平仓线,5.99,5.24,9.37,5.14,"53,630.01",96.44,28.7,--,2017/3/3,20181011
65,000426.SZ,2016/12/2,内蒙古兴业集团股份有限公司,东兴证券投资有限公司,"8,228.00",22.59,6.89,兴业集团融资,自2016年12月2日起质押,已到平仓线,6.25,5.47,9.76,5.14,"36,028.53",98.93,30.18,--,2016/12/5,20181011
66,000430.SZ,2016/12/28,张家界市经济发展投资集团有限公司,国开证券有限责任公司,"2,500.00",25.96,7.79,质押给国开证券有限责任公司,"2016年12月28日开始质押,2019年12月27日质押到期。",已到平仓线,7.68,6.72,12.0,5.4,"9,080.00",94.27,28.3,2019/12/27,2017/1/4,20180619
67,000488.SZ,2018/5/23,晨鸣控股有限公司,中国国际金融股份有限公司,"1,790.72",4.02,0.62,"晨鸣控股有限公司质押11,938,200股给中国国际金融股份有限公司","质押期限为2018年5月23日至2019年5月22日,业务续做后质押到期日2019-11-22",已到平仓线,5.8,5.07,9.06,4.77,"33,601.34",75.44,11.57,2019/11/22,2019/5/25,20190809
68,000503.SZ,2016/12/7,中海恒实业发展有限公司,国泰君安证券股份有限公司,"1,100.00",4.43,1.22,质押给国泰君安证券股份有限公司,质押起始日为2016年12月7日,已到平仓线,34.5,30.18,53.9,15.42,"17,629.00",70.97,19.61,--,2016/12/9,20170509
69,000503.SZ,2016/12/1,中海恒实业发展有限公司,财通证券资产管理有限公司,500,2.12,0.56,质押给财通证券资产管理有限公司,质押开始日期2016年12月01日,已到平仓线,37.08,32.44,57.93,15.42,"4,214.18",17.88,4.69,--,2018/9/6,20170412
70,000509.SZ,2017/11/1,西藏麦田创业投资有限公司,湖北省资产管理有限公司,"5,520.00",27.71,6.69,"西藏麦田创业投资有限公司质押55,200,000股给湖北省资产管理有限公司于融资",质押日期2017年11月1日,已到平仓线,3.92,3.43,6.12,2.51,"19,820.00",99.5,24.01,--,2017/11/7,20180416
71,000509.SZ,2017/9/29,西藏麦田创业投资有限公司,湖北省资产管理有限公司,"14,300.00",71.79,17.32,"西藏麦田创业投资有限公司质押143,000,000股给湖北省资产管理有限公司于融资",质押日期2017年9月29日,已到平仓线,3.92,3.43,6.12,2.51,"19,820.00",99.5,24.01,--,2017/11/7,20180416
72,000510.SZ,2017/11/24,刘江东,华创证券有限公司,"3,297.86",41.47,5.41,"刘江东质押39,578,578股给华创证券有限公司用于融资","冻结期限是2017年11月24号至2018年11月23号,延期至2019年6月21日。延期至2019/12/20",已到平仓线,5.05,4.42,7.9,4.21,"7,952.00",99.99,13.05,2019/12/20,2019/6/25,20180702
73,000510.SZ,2017/11/23,刘江东,华创证券有限公司,"3,434.14",43.18,5.64,"刘江东质押39,941,422股给华创证券有限公司用于融资","冻结期限是2017年11月23号至2018年11月23号,延期至2019年6月21日。延期至2019/12/20",已到平仓线,4.99,4.37,7.8,4.21,"7,952.00",99.99,13.05,2019/12/20,2019/6/25,20180702
74,000517.SZ,2018/1/11,荣安集团股份有限公司,临商银行股份有限公司宁波分行,"7,600.00",4.98,2.39,"荣安集团股份有限公司质押给临商银行股份有限公司宁波分行76,000,000股",质押期限2018年1月11日至质权人申请解除质押登记日,已到平仓线,3.44,3.01,5.38,2.67,"74,144.00",48.59,23.29,--,2018/1/15,20180628
75,000517.SZ,2018/1/11,荣安集团股份有限公司,上海银行股份有限公司宁波海曙支行,"5,000.00",3.28,1.57,"荣安集团股份有限公司质押给上海银行股份有限公司宁波海曙支行50,000,000股",质押期限2018年1月11日至质权人申请解除质押登记日,已到平仓线,3.44,3.01,5.38,2.67,"74,144.00",48.59,23.29,--,2018/1/15,20180628
76,000518.SZ,2018/1/2,王洪明,中国工商银行股份有限公司江阴支行,"1,747.00",12.12,1.7,"王洪明质押给中国工商银行股份有限公司江阴支行17,470,000股用于融资",质押期限为2018年1月2日至2023年1月1日,已到平仓线,4.42,3.87,6.91,3.27,"11,413.00",79.18,11.09,2023/1/1,2018/1/13,20180911
77,000518.SZ,2017/8/1,王洪明,中国工商银行股份有限公司江阴支行,"4,566.00",44.35,4.43,"王洪明质押给中国工商银行股份有限公司江阴支行45,660,000股用于融资","质押开始日期2017年8月1日,质押截止日期2022年7月27日.",已到平仓线,5.27,4.61,8.24,3.27,"9,666.00",93.89,9.39,2022/7/27,2017/8/3,20180619
78,000520.SZ,2016/3/29,天津顺航海运有限公司,中信银行股份有限公司天津分行,"5,556.00",30.69,5.49,质押给中信银行股份有限公司天津分行,质权人解除质押登记手续之日,已到平仓线,5.88,5.14,9.18,3.92,"15,556.00",85.94,15.37,--,2016/3/31,20170925
79,000532.SZ,2017/1/3,珠海水务环境控股集团有限公司,平安银行股份有限公司珠海分行,"1,990.00",49.9,5.77,融资需要,"质押开始日期2017年1月3日
质押到期日项目贷款结清之日(项目贷款到期日为2023-10-23)",已到平仓线,11.92,10.43,18.63,9.84,"1,990.00",49.9,5.77,2023/10/23,2017/1/6,20171225
80,000536.SZ,2017/5/22,中华映管(百慕大)股份有限公司,渤海国际信托股份有限公司,500,1.1,0.18,"中华映管(百慕大)股份有限公司质押5,000,000股给渤海国际信托股份有限公司用于融资","质押开始日期2017年5月22日
质押到期日质权人办理解除质押登记手续之日",已到平仓线,3.52,3.08,5.5,3.07,"45,000.00",98.73,26.03,--,2017/5/24,20180530
